date,direction,entry_time,exit_time,entry_price,exit_price,stop,or_high,or_low,atr14,rel_vol,outcome,pnl_pts,risk_pts,r,year
2022-06-01,long,2022-06-01 13:34:00+00:00,2022-06-01 13:40:00+00:00,12796.5,12761.060714285713,12761.060714285713,12796.5,12731.1,354.39285714285717,1.1083293539804897,stop,-35.4392857142866,35.4392857142866,-1.0,2022
2022-06-02,long,2022-06-02 13:34:00+00:00,2022-06-02 13:42:00+00:00,12519.0,12482.522857142858,12482.522857142858,12519.0,12439.4,364.77142857142854,1.2263784226139736,stop,-36.4771428571421,36.4771428571421,-1.0,2022
2022-06-03,long,2022-06-03 13:34:00+00:00,2022-06-03 14:05:00+00:00,12713.6,12675.54642857143,12675.54642857143,12713.6,12641.3,380.5357142857143,1.2579613500272182,stop,-38.05357142857065,38.05357142857065,-1.0,2022
2022-06-07,long,2022-06-07 13:34:00+00:00,2022-06-07 19:59:00+00:00,12482.2,12709.9,12450.387142857144,12482.2,12410.9,318.1285714285714,1.2005191002262745,eod,227.6999999999989,31.812857142856956,7.157483497238321,2022
2022-06-08,short,2022-06-08 13:34:00+00:00,2022-06-08 19:59:00+00:00,12627.1,12618.3,12660.02,12685.9,12627.1,329.19999999999993,1.1123262402002767,eod,8.800000000001091,32.92000000000007,0.26731470230865956,2022
2022-06-09,long,2022-06-09 13:34:00+00:00,2022-06-09 14:11:00+00:00,12596.6,12564.20642857143,12564.20642857143,12596.6,12518.6,323.9357142857142,1.1963788300835654,stop,-32.393571428570795,32.393571428570795,-1.0,2022
2022-06-10,short,2022-06-10 13:34:00+00:00,2022-06-10 13:37:00+00:00,11975.3,12008.795714285714,12008.795714285714,12088.3,11975.3,334.9571428571427,1.0601132236002486,stop,-33.49571428571471,33.49571428571471,-1.0,2022
2022-06-13,long,2022-06-13 13:34:00+00:00,2022-06-13 13:36:00+00:00,11553.3,11520.222142857143,11520.222142857143,11553.3,11464.7,330.7785714285713,1.2264840182648402,stop,-33.077857142856374,33.077857142856374,-1.0,2022
2022-06-14,short,2022-06-14 13:34:00+00:00,2022-06-14 14:00:00+00:00,11358.0,11390.376428571428,11390.376428571428,11413.9,11358.0,323.7642857142855,1.0796811473573007,stop,-32.37642857142782,32.37642857142782,-1.0,2022
2022-06-15,long,2022-06-15 13:34:00+00:00,2022-06-15 14:34:00+00:00,11490.7,11457.062857142859,11457.062857142859,11490.7,11439.2,336.3714285714285,1.1440580082135523,stop,-33.63714285714195,33.63714285714195,-1.0,2022
2022-06-16,short,2022-06-16 13:34:00+00:00,2022-06-16 13:42:00+00:00,11250.2,11285.47642857143,11285.47642857143,11321.6,11250.2,352.7642857142855,1.1356518977290773,stop,-35.27642857142928,35.27642857142928,-1.0,2022
2022-06-17,long,2022-06-17 13:34:00+00:00,2022-06-17 13:39:00+00:00,11253.7,11216.025714285715,11216.025714285715,11253.7,11157.2,376.74285714285696,1.1006344072645853,stop,-37.67428571428536,37.67428571428536,-1.0,2022
2022-06-22,long,2022-06-22 13:34:00+00:00,2022-06-22 19:59:00+00:00,11500.8,11533.3,11466.936428571427,11500.8,11412.7,338.63571428571413,1.055238774055595,eod,32.5,33.86357142857196,0.9597333839566177,2022
2022-06-23,short,2022-06-23 13:34:00+00:00,2022-06-23 14:00:00+00:00,11595.0,11629.607857142857,11629.607857142857,11658.4,11595.0,346.0785714285712,1.044142564133052,stop,-34.60785714285703,34.60785714285703,-1.0,2022
2022-06-27,short,2022-06-27 13:34:00+00:00,2022-06-27 15:46:00+00:00,12092.6,12126.075,12126.075,12188.1,12092.6,334.7499999999997,1.0556023588879528,stop,-33.475000000000364,33.475000000000364,-1.0,2022
2022-06-28,long,2022-06-28 13:34:00+00:00,2022-06-28 13:44:00+00:00,12144.6,12112.717857142858,12112.717857142858,12144.6,12022.8,318.8214285714283,1.0675712347354138,stop,-31.882142857142753,31.882142857142753,-1.0,2022
2022-06-29,short,2022-06-29 13:34:00+00:00,2022-06-29 13:35:00+00:00,11556.0,11589.49142857143,11589.49142857143,11665.0,11556.0,334.91428571428554,1.0734931794964244,stop,-33.491428571429424,33.491428571429424,-1.0,2022
2022-06-30,short,2022-06-30 13:34:00+00:00,2022-06-30 15:22:00+00:00,11480.9,11512.930714285714,11512.930714285714,11562.4,11480.9,320.3071428571428,1.0620921911176595,stop,-32.030714285714566,32.030714285714566,-1.0,2022
2022-07-01,short,2022-07-01 13:34:00+00:00,2022-07-01 13:41:00+00:00,11435.0,11467.282142857142,11467.282142857142,11512.5,11435.0,322.82142857142844,1.03998087611307,stop,-32.28214285714239,32.28214285714239,-1.0,2022
2022-07-06,long,2022-07-06 13:34:00+00:00,2022-07-06 18:10:00+00:00,11857.9,11828.581428571428,11828.581428571428,11857.9,11779.7,293.1857142857142,1.0894225528231107,stop,-29.318571428571886,29.318571428571886,-1.0,2022
2022-07-07,long,2022-07-07 13:34:00+00:00,2022-07-07 19:59:00+00:00,11968.8,12112.1,11938.98857142857,11968.8,11894.5,298.11428571428576,1.0817075526366622,eod,143.3000000000011,29.811428571429133,4.806881349434487,2022
2022-07-08,long,2022-07-08 13:34:00+00:00,2022-07-08 13:49:00+00:00,12023.0,11992.952142857142,11992.952142857142,12023.0,11964.8,300.47857142857146,1.1721730135126398,stop,-30.047857142857538,30.047857142857538,-1.0,2022
2022-07-11,short,2022-07-11 13:34:00+00:00,2022-07-11 19:59:00+00:00,11987.9,11866.8,12015.153571428571,12038.7,11987.9,272.53571428571456,1.0566768039811998,eod,121.10000000000036,27.253571428571377,4.443454331018237,2022
2022-07-12,long,2022-07-12 13:34:00+00:00,2022-07-12 13:35:00+00:00,11962.8,11935.88,11935.88,11962.8,11906.9,269.2000000000002,1.031079057543624,stop,-26.920000000000073,26.920000000000073,-1.0,2022
2022-07-13,long,2022-07-13 13:34:00+00:00,2022-07-13 19:59:00+00:00,11597.0,11736.3,11568.969285714285,11597.0,11501.9,280.30714285714305,1.1240374290535358,eod,139.29999999999927,28.030714285714566,4.96954870932388,2022
2022-07-14,short,2022-07-14 13:34:00+00:00,2022-07-14 13:46:00+00:00,11560.5,11589.841428571428,11589.841428571428,11659.2,11560.5,293.41428571428594,1.0775158242363085,stop,-29.34142857142797,29.34142857142797,-1.0,2022
2022-07-15,long,2022-07-15 13:34:00+00:00,2022-07-15 13:39:00+00:00,11952.7,11924.486428571428,11924.486428571428,11952.7,11898.7,282.1357142857144,1.0151095977867632,stop,-28.213571428572322,28.213571428572322,-1.0,2022
2022-07-18,long,2022-07-18 13:34:00+00:00,2022-07-18 14:08:00+00:00,12132.7,12105.506428571429,12105.506428571429,12132.7,12066.0,271.9357142857144,1.0718296106432321,stop,-27.193571428571886,27.193571428571886,-1.0,2022
